,user_id,item_id,exposure_time,internet_environment,number_of_refreshes,exposure_position,whether_to_click,consumption_time,exposure_date,index
0,1000014754,463510256,2021-06-28 09:29:16.147000+08:00,5,0,16,0,0,2021-06-28,0
1,1000014754,463852707,2021-06-28 09:29:16.147000+08:00,5,0,13,1,80,2021-06-28,1
2,1000014754,464757134,2021-06-30 19:36:39.841000+08:00,5,0,13,1,1050,2021-06-30,2
3,1000014754,464617167,2021-06-30 19:36:39.841000+08:00,5,0,16,1,286,2021-06-30,3
4,1000014754,465426190,2021-07-04 15:07:01.168000+08:00,5,0,5,0,0,2021-07-04,4
5,1000014754,465815972,2021-07-04 15:07:01.168000+08:00,5,0,4,1,285,2021-07-04,5
6,1000014754,465991958,2021-07-04 15:07:01.168000+08:00,5,0,0,1,353,2021-07-04,6
7,1000014754,463067100,2021-06-27 09:25:47.178000+08:00,5,0,13,0,0,2021-06-27,7
8,1000014754,464264603,2021-06-30 08:08:14.982000+08:00,5,1,18,0,0,2021-06-30,8
9,1000014754,464295109,2021-06-30 07:35:31.701000+08:00,5,0,19,1,215,2021-06-30,9
10,1000014754,463797180,2021-06-30 07:35:31.701000+08:00,5,0,16,1,263,2021-06-30,10
11,1000014754,464140836,2021-06-30 07:35:31.701000+08:00,5,0,13,0,0,2021-06-30,11
12,1000014754,464088301,2021-06-30 07:35:31.701000+08:00,5,0,18,1,45,2021-06-30,12
13,1000014754,464264603,2021-06-30 08:08:14.982000+08:00,5,1,18,1,430,2021-06-30,13
14,1000014754,464088301,2021-06-30 07:35:31.701000+08:00,5,0,18,0,0,2021-06-30,14
15,1000014754,464757134,2021-06-30 19:36:39.841000+08:00,5,0,13,0,0,2021-06-30,15
16,1000014754,465295045,2021-07-02 19:54:30.896000+08:00,2,0,16,1,194,2021-07-02,16
17,1000014754,463625484,2021-06-27 10:54:06.340000+08:00,5,0,12,1,268,2021-06-27,17
18,1000014754,463625484,2021-06-27 10:54:06.340000+08:00,5,0,12,1,57,2021-06-27,18
19,1000014754,463420121,2021-06-26 15:21:07.329000+08:00,2,0,14,0,0,2021-06-26,19
20,1000014754,463437467,2021-06-26 15:21:07.329000+08:00,2,0,16,0,0,2021-06-26,20
21,1000014754,463385118,2021-06-26 15:21:07.329000+08:00,2,0,12,0,0,2021-06-26,21
22,1000014754,463661555,2021-06-27 12:14:05.288000+08:00,5,0,13,0,0,2021-06-27,22
23,1000014754,466309104,2021-07-05 20:40:34.312000+08:00,5,0,12,0,0,2021-07-05,23
24,1000014754,465780170,2021-07-05 20:40:34.312000+08:00,5,0,16,0,0,2021-07-05,24
